Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
54.99,71.79,0,0,0,0,0,0,1,0,0.152542373
71.8,88.6,0,0.111111111,0.02173913,0.029411765,0,0,0,0,0
88.61,105.41,0,0.222222222,0.489130435,0.029411765,0,0,0,0.5,0.389830508
105.42,122.22,0,0.444444444,0.163043478,0,0,0,0,0.5,0.237288136
122.23,139.03,0,0.111111111,0.108695652,0,0,0.333333333,0,0,0.169491525
139.04,155.84,0,0,0.108695652,0.058823529,0,0,0,0,0.033898305
155.85,172.65,0,0.111111111,0.032608696,0.147058824,1,0.666666667,0,0,0.016949153
172.66,189.46,1,0,0.054347826,0.235294118,0,0,0,0,0
189.47,206.27,0,0,0.02173913,0.323529412,0,0,0,0,0
206.28,223.08,0,0,0,0.029411765,0,0,0,0,0
223.09,239.89,0,0,0,0.088235294,0,0,0,0,0
239.9,256.7,0,0,0,0,0,0,0,0,0
256.71,273.51,0,0,0,0,0,0,0,0,0
273.52,290.32,0,0,0,0.058823529,0,0,0,0,0
